Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
294.0951,2.16,903836.9248,1194685.804,866962.3428,751305.1884,516131.5221,625698.9591
890.4661,13.76,1,1,852592.6205,2072634.578,1420067.765,1752405.894
220.1131,5.38,634475.4661,951228.4164,986784.6004,1131867.532,714093.5983,918704.8773
510.1943,2.03,555403.4226,639143.0855,358077.8655,2645.755339,802.1179987,1
432.1046,6.76,952175.9709,1472928.862,1522309.109,1764499.98,1270108.247,1533560.612
543.257,11.57,1863967.195,2026369.635,1859427.467,2045646.788,2020941.907,2092275.7
915.4708,13.04,1,1,1,2001062.538,2389182.302,1834105.18
502.2297,13.81,1444958.453,2944218.356,3763860.363,1,1,1
822.5327,19.05,1,1,1,1,1,1
796.2877,6.75,190231.6234,79438.25296,188996.402,7067.328746,877.970499,13241.02305
550.1898,2.53,573656.3211,806978.0912,752571.5202,1660569.776,1350319.064,1501941.072
296.235,14.5,620508.0036,624045.5168,635539.5036,575196.2114,227120.2951,265673.9498
257.0981,4.64,41166.48446,57575.27913,39569.71748,1,1,1
561.0979,3.13,1685218.849,1746231.514,1908431.182,1783123.339,1547265.092,1639589.352
192.0419,4.85,201372.8668,338008.9995,242736.4734,612345.1217,767195.8446,695736.2085
891.5227,18.11,2583545.008,2666741.474,2384734.119,1974433.159,1115417.527,1416823.858
298.2502,14.2,1,1,5131.817847,19503.4229,11328.22427,21085.49109
474.1311,12.71,1,789554.7201,1021668.477,1672153.736,1223008.675,1469792.001
657.1528,4.31,1266713.87,1374269.819,1347145.331,1733840.317,1482151.85,1661155.437
1063.2796,6.83,359391.8821,584685.9169,573617.6707,1337343.474,1184427.633,1274527.01
545.2727,12.29,1838612.417,1937732.347,1948127.604,1701096.984,1746292.358,1930557.383
273.9669,0.81,1453390.329,1282451.356,1480878.458,1256075.023,1100586.123,1180286.629
337.1159,5.97,1065936.749,1417632.527,1532228.84,1614393.316,1237612.48,1457348.329
154.0728,2.04,1679367.288,1913519.754,1839615.964,1,1,1
424.1938,4.57,1622523.023,1409398.485,1496471.958,1308710.639,1075698.838,1210788.634
399.1159,5.73,1061136.966,889054.8526,1100660.245,929894.5165,1244690.455,1127751.167
546.167,13.11,1,1,1,663481.6339,1236115.235,1136662.803
540.1735,5.06,237604.6381,280812.7024,297610.6559,195059.8248,147894.0773,160779.9455
162.9763,2.26,1134456.315,408179.027,1443019.97,1650238.553,1525080.684,1615625.854
356.1102,2.9,442189.7891,491976.6219,472025.9945,787177.5565,440902.7182,792541.1628
124.0618,3.34,867766.0409,913227.0875,970321.3401,1,1,1
954.5213,13.23,1,1,674353.8389,1546151.327,970665.8907,1390788.874
515.1719,3.61,148451.5247,131645.5832,153729.593,199237.3961,193101.4467,190136.9633
610.5641,16.38,1300970.742,1427927.248,1277910.764,1477762.426,1526822.175,1505566.311
510.2945,15.18,1,1,1,1,1,1
912.5468,14.4,1,1,1,1,27265.6938,1
449.3086,14.83,1,1,1,1,1,1
470.1145,4.79,321110.3106,344339.7652,333564.2685,1,1,1
194.043,0.95,58926.73175,60589.92901,123918.4729,66317.63506,64334.50558,69841.24655
323.1003,2.58,963428.4138,1055000.208,744225.3151,1247080.589,1591132.983,1412520.404
926.0966,2.72,907809.4919,1167564.114,1315433.615,846168.3312,796933.8566,776734.8689
948.1818,5.49,673325.4053,828432.4715,814809.6583,463696.7603,456452.9301,453573.7445
364.1466,2.65,635006.2112,679407.4526,722863.1545,21706.17615,26312.64869,28918.98246
679.4112,4.9,881939.6844,765174.3712,859273.3184,1817632.766,1574166.99,1691370.019
762.2306,3.4,293367.1013,286233.559,326701.7709,1,1,1
888.5107,14.2,4112.851105,909.4083527,1,1,1,1
347.1265,9.08,159743.9474,333822.5752,352460.8037,1437116.241,1242441.359,1325109.331
508.2789,13.13,3687.144725,1,1,1,1,1
410.1426,3.64,620560.2627,681787.8778,503917.1746,686462.4551,730709.9233,709618.0109
591.1575,4.18,276797.2504,330385.875,318167.8568,369596.3276,418065.1709,358387.0775
521.275,12.29,602371.9277,715229.1567,723137.6108,1555784.343,1156182.422,1372679.585
794.2015,5.83,341713.0646,397558.8946,341322.4602,385244.9964,432129.8895,405859.7501
332.1205,2.59,289999.4542,406937.4103,430321.1708,1,1,1
918.2061,3.12,310846.406,463198.3821,327635.2957,446541.3799,407239.2206,428157.9777
466.2692,14.47,1,1,1,1,821918.2388,834692.932
518.2618,21.2,4116.020897,3606.268491,4125.157858,397391.5619,1395424.988,809595.0919
462.2739,16.64,1,1,1,107802.2798,1,2427380.984
348.1161,2.9,1,124230.2632,113935.9678,329483.1557,317254.5866,329198.454
1010.2017,3.1,314353.0574,414874.1904,425594.6296,359556.3647,251141.1617,252494.6699
495.0862,5.17,1614922.626,1572809.451,1173895.296,717840.6388,660802.4638,690960.0983
